,BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns
1162676,ANAICUT,Plantation Crops,2020,10,20,Coconut,VELLORE,Nutrient Management,,HORTICULTURE,TAMILNADU,Asking about micro nutrient application for coconut  , :         :   300      
26289,0   ,0,2010,5,31,Coconut,ERODE,76,JAYAD,HORTICULTURE,TAMILNADU,Control measures for Red palm weevil in,Root feeding with Monocrotophos 10ml  water 10 ml
899035,KATPADI,Vegetables,2018,11,26,Mushroom,VELLORE,,0,HORTICULTURE,TAMILNADU,asking about need for mushroom training,recommended for contact with Mushroom Research  Training Centre Department of Plant PathologyTamil Nadu Agricultural University CoimbatorePhone No 0422-6611336 6611226
150310,DHARMAPURI,Others,2013,9,30,Others,DHARMAPURI,Weather,JAYAD,AGRICULTURE,TAMILNADU,weather forecast details,today no rain
935196,ORATTANADU,Others,2018,1,2,Others,THANJAVUR,Weather,RABI,AGRICULTURE,TAMILNADU,Asking about Thanjavur today weather Report,Recommended for Thanjavur Today No Rain Fall 00 mm
654833,KADAVUR,Pulses,2016,3,17,Black Gram urd bean,KARUR,Nutrient Management,RABI,AGRICULTURE,TAMILNADU,black gram basal fertilizer management,Recommended for apply urea 23kg  super phosphate 625kg  potash 8kg  ac
1240231,THIRUVENNAINALLUR,Cereals,2020,7,12,Paddy Dhan,VILLUPPURAM,Varieties,,AGRICULTURE,TAMILNADU,Asking about ASD 19 paddy variety detail , : 19       :    
1082433,KADAVUR,Sugar and Starch Crops,2019,8,27,Sugarcane Noble Cane,KARUR,Nutrient Management,,AGRICULTURE,TAMILNADU,Asking about Sugarcane Research StationSirugamani contact information,
1570725,NANGUNERI,Cereals,2023,2,1,Paddy Dhan,TIRUNELVELI,Weather,,AGRICULTURE,TAMILNADU,Farmer asked query on Weather,:   -     : :            34  C    25 C     6     
72533,0   ,Cereals,2011,9,2,1137,THOOTHUKUDI,Fertilizer Use and Availability,JAYAD,AGRICULTURE,TAMILNADU,basal fertilizer managnent for rice,Apply 50 kg DAPacre
763112,KARAMADAI,Fruits,2017,12,5,Banana,COIMBATORE,Fertilizer Use and Availability,RABI,HORTICULTURE,TAMILNADU,Asking about banana fertilizer management,Recommended for apply 80 gm urea  183 gm potash  plant
308307,AMMAPETTAI,Cereals,2014,7,5,Paddy Dhan,THANJAVUR,Fertilizer Use and Availability,RABI,AGRICULTURE,TAMILNADU,paddy top fertilizer management,apply urea 25 kilo  potash 15 kilo  neem cake 5 kilo  1 acre
931406,MARUNGAPURI,Others,2018,11,15,Others,TIRUCHIRAPPALLI,Weather,0,AGRICULTURE,TAMILNADU,Asking about weather report for trichy district,Recommended for  today and tomorrow having light to moderate rain
312899,SEDAPATTI,Millets,2014,5,16,Maize Makka,MADURAI,Fertilizer Use and Availability,KHARIF,AGRICULTURE,TAMILNADU,TNAU MAIZE MAXIM application,Foliar spray for TNAU MAIZE MAXIM 25 kgac
1618534,PERAMBALUR,Plantation Crops,2023,6,21,Coconut,PERAMBALUR,Plant Protection,,HORTICULTURE,TAMILNADU,Asking about whitefly management in coconut,:     : :        3      1         
355915,CHENGAM,Cereals,2014,1,11,Paddy Dhan,TIRUVANNAMALAI,Fertilizer Use and Availability,KHARIF,AGRICULTURE,TAMILNADU,top dressing fertilizer management for paddy,apply 25 kg urea  15 kg potash  5 kg neemcakeac
1332377,CHERANMAHADEVI,Others,2021,1,11,Others,TIRUNELVELI,Weather,,AGRICULTURE,TAMILNADU,Farmer asked query on Weather,:     : 4           24 C - 28 C    10  
1363234,OLAKKUR,Cereals,2021,10,11,Paddy Dhan,VILLUPPURAM,Crop Insurance,,AGRICULTURE,TAMILNADU,Asking about paddy crop insurance information ,:       :   15-11-2021       442  
673339,TIRUTTURAIPPUNDI,Cereals,2016,11,26,Paddy Dhan,THIRUVARUR,Plant Protection,RABI,AGRICULTURE,TAMILNADU,asking about paddy thrips management,recommended for spray Azadirachtin - 3 ml lit of water
443112,MANALMELKUDI,Vegetables,2015,11,19,Tomato,PUDUKKOTTAI,Plant Protection,RABI,HORTICULTURE,TAMILNADU,Serpentine leaf minerin tomato,recommended for Spray neem seed kernel extract 3 
1492643,TIMIRI,Fruits,2022,8,10,Banana,VELLORE,Nutrient Management,,HORTICULTURE,TAMILNADU,Asked about Banana top dressing application  , :      :  80      180     
176554,MUSIRI,Millets,2013,12,8,Maize Makka,TIRUCHIRAPPALLI,Fertilizer Use and Availability,KHARIF,AGRICULTURE,TAMILNADU,top dressing fertilizer management for  maize,apply urea 60 kgac
760049,THONDAMUTHUR,Vegetables,2017,8,7,Lab Lab,COIMBATORE,Plant Protection,KHARIF,HORTICULTURE,TAMILNADU,Asked about wilt and root rot management,recommended for drench with carbendazim 1 gm  1 litre of water
908165,NALLAMPALLI,Condiments and Spices,2018,4,23,Turmeric,DHARMAPURI,Market Information,RABI,HORTICULTURE,TAMILNADU,Asking about turmeric market price,recommended for the turmeric price : Rs 7300-9300quintal
794828,THANJAVUR,Vegetables,2017,12,9,Lab Lab,THANJAVUR,Nutrient Management,RABI,HORTICULTURE,TAMILNADU,Asking about thirps in lab lab,Recommended for spray Dimethoate 2 ml  lit
1319422,TURAIYUR,Cereals,2021,10,26,Paddy Dhan,TIRUCHIRAPPALLI,Sowing Time and Weather,,AGRICULTURE,TAMILNADU,Asking about Paddy sowing season and Varieties , :         :       -  TNAU Rice TRY 3 TRY 1 CO 43 TKM 13 VGD 1 CO 52 CO R 50  ADT 39 ADT 38 TNAU Rice ADT  49 ImpWhite Ponni ADT R 46 TNAU Rice Hybrid CO 4 ADT 53 CO 51 ADT R 45 TPS 5 ADT 36 ADT 37 CORH 3 ASD 16     
740110,PERANAMBATTU,Others,2017,11,10,Others,VELLORE,Nutrient Management,RABI,AGRICULTURE,TAMILNADU,Asked about Vellore today weather Report,Recommended for Vellore today weather Report : very Light Rain fall 01  24 mm
1722751,0   ,Cereals,2024,3,24,Paddy Dhan,CHENGALPATTU,Soil Health Card,,AGRICULTURE,TAMILNADU,asked about subsidy information of paddy transplanter , :          :      
265402,SANKARI,Cereals,2014,10,8,Paddy Dhan,SALEM,Plant Protection,KHARIF,AGRICULTURE,TAMILNADU,paddy Green leafhopper:,recommended for spray monocrotophos 2 ml  1 litre of water
1411825,KALASAPAKKAM,Sugar and Starch Crops,2022,1,18,Sugarcane Noble Cane,TIRUVANNAMALAI,Varieties,,AGRICULTURE,TAMILNADU,Asking about Suitable sugarcane varieties ratoon crop,:      :CoC 90063 CoV 92102 Co 86032 CoG 94077 Co SiSc6 Co G Sc5 Co C Sc22 CoC 24  SC Si7 CO SC Si 8
1761803,NAMAGIRIPET,Oilseeds,2024,7,1,Groundnut pea nutmung phalli,NAMAKKAL,Nutrient Management,,AGRICULTURE,TAMILNADU,Asked about groundnut rich foliar applicationin groundnut, :       :         2  200    
1508824,CHENGAM,Others,2022,9,6,Others,TIRUVANNAMALAI,Government Schemes,,AGRICULTURE,TAMILNADU, Asking about prime minister kisan samman nidhi scheme,:             :     11              
683505,CHENGAM,Cereals,2016,1,21,Paddy Dhan,TIRUVANNAMALAI,Fertilizer Use and Availability,RABI,AGRICULTURE,TAMILNADU,Paddy basal fertilizer,Recommended for apply DAP 50 kg  zinc sulphate 10kg  neem cake 10 kgac
743254,ATTUR,Vegetables,2017,3,28,Drum Stick,SALEM,Plant Protection,JAYAD,HORTICULTURE,TAMILNADU,asking about drumstick pod fly management,recommended for spray Profenophos - 2 ml lit of water
585772,POLLACHI NORTH,Sugar and Starch Crops,2016,8,14,Tapioca Cassava,COIMBATORE,Market Information,KHARIF,AGRICULTURE,TAMILNADU,Asking about tapioca market rate,Recommended for tapioca market rate Chennai Rs 30kg
295767,PULLAMBADI,Inland,2014,5,3,Fresh Water,TIRUCHIRAPPALLI,Fishery Nutrition,KHARIF,FISHERIES,TAMILNADU,Fishery training centre contact,Explain  Contact fishery training centre tirunelveli
428239,ERODE,Condiments and Spices,2015,10,30,Turmeric,ERODE,Market Information,RABI,HORTICULTURE,TAMILNADU,turmeric market rate details,recommended for turmeric market rate  Bulb  Rs 7463-8487  quintal
1217511,KRISHNARAYAPURAM,Oilseeds,2020,2,21,Sesame GingellyTilSesamum,KARUR,Market Information,,AGRICULTURE,TAMILNADU,Asking about Ulundhurpattai  sesame market rate,             8910
669304,NILAKOTTAI,Vegetables,2016,12,26,BhindiOkraLadysfinger,DINDIGUL,Nutrient Management,RABI,HORTICULTURE,TAMILNADU,Foliar nutrient spray for bhendi crop,Recommended for spray potassium nitrate 5 g  litre of water
1120991,PERNAMALLUR,Oilseeds,2019,7,19,Groundnut pea nutmung phalli,TIRUVANNAMALAI,Plant Protection,,AGRICULTURE,TAMILNADU,Late leaf spot in groundnut,
510568,THURINJAPURAM,Vegetables,2015,4,11,BhindiOkraLadysfinger,TIRUVANNAMALAI,Fertilizer Use and Availability,JAYAD,HORTICULTURE,TAMILNADU,top dressing fertilizer for bhendi,recommended for apply urea 84 kgac
1157886,TIMIRI,Plantation Crops,2020,1,20,Coconut,VELLORE,Plant Protection,,HORTICULTURE,TAMILNADU,Asking about Red palm weevil in coconut, :       :    10    10    
1473244,PATTUKKOTTAI,Plantation Crops,2022,6,10,Coconut,THANJAVUR,Plant Protection,,HORTICULTURE,TAMILNADU,Asking about Rhinoceros beetle management in coconut,:     : :  Rhinolure            5       
1030760,KATPADI,Cereals,2019,12,1,Paddy Dhan,VELLORE,Seeds,,AGRICULTURE,TAMILNADU,Asking about Karuppukavuni paddy seed availability ,
318219,ALANGULAM,Fruits,2014,5,31,Mango,TIRUNELVELI,Fertilizer Use and Availability,KHARIF,HORTICULTURE,TAMILNADU,mango fertilizer management,apply urea 200gm  potash 300gm  super phosphate 200gm  tree
461215,KEELAPAVOOR,Cereals,2015,7,13,Paddy Dhan,TIRUNELVELI,Nutrient Management,KHARIF,AGRICULTURE,TAMILNADU,paddy top dressing fertilizer management,Recommended for apply urea 25 kg  potash 15 kg  neem cake 5 kgac
683272,CHENGAM,Cereals,2016,1,18,Paddy Dhan,TIRUVANNAMALAI,Plant Protection,RABI,AGRICULTURE,TAMILNADU,grain discolouration in paddy,recommended for spray carbendazim 2 glit of water
1733303,VIKRAVANDI,Oilseeds,2024,4,23,Sesame GingellyTilSesamum,VILLUPPURAM,Nutrient Management,,AGRICULTURE,TAMILNADU,Asked about Foliar nutrient spray for sesame crop , :         :  2          
212850,PERAMBALUR,Condiments and Spices,2013,11,1,Turmeric,PERAMBALUR,Plant Protection,KHARIF,HORTICULTURE,TAMILNADU,leaf spot in turmeric,spray mancozeb  metalaxyl 2 g  lit of water
1103458,OLAKKUR,Flowers,2019,9,25,Jasmine,VILLUPPURAM,Plant Protection,,HORTICULTURE,TAMILNADU,Asking about Red spider mite in jasmine,
966150,VEPPANTHATTAI,Others,2018,3,29,Others,PERAMBALUR,Weather,RABI,AGRICULTURE,TAMILNADU,asking about perambalur weather Report today,Recommended for Perambalur Today No Rain Fall 00 mm
789813,ORATTANADU,Vegetables,2017,5,1,Brinjal,THANJAVUR,Plant Protection,JAYAD,HORTICULTURE,TAMILNADU,Asking about red spider mite management in brinjal,Recommended for spray Spiromesifen 05 ml litre of water
483267,ALATHUR,Fruits,2015,2,17,Banana,PERAMBALUR,Field Preparation,RABI,HORTICULTURE,TAMILNADU,banana spacing,recommended for banana spacing 21X21M
1045424,BHAVANI,Fruits,2019,1,23,Banana,ERODE,Nutrient Management,,HORTICULTURE,TAMILNADU,Asking about Calcium deficiency management in Banana,Recommended to spray Calcium hydroxide 5 gm  liter of water 
1359210,MUGAIYUR,Vegetables,2021,4,1,Watermelon,VILLUPPURAM,Plant Protection,,HORTICULTURE,TAMILNADU,Asked about Leaf blight management in Watermelon ,:    :  2   1    
42016,MAYILADUTHURAI,0,2010,5,2,1279,NAGAPATTINAM,76,RABI,HORTICULTURE,TAMILNADU,control measure for shoot borer,spray endosulfan 2mllit of water
876661,KELAMANGALAM,Vegetables,2017,5,6,Radish,KRISHNAGIRI,Cultural Practices,JAYAD,HORTICULTURE,TAMILNADU,Asking about radish sowing season,Recommended for radish sowing season at June July in hills
435150,LALGUDI,Vegetables,2015,8,2,Onion,TIRUCHIRAPPALLI,Market Information,KHARIF,HORTICULTURE,TAMILNADU,small onion market rate,Recommended for small onion market rate : 60 RsKg
543807,TIRUKKALUKUNRAM,Others,2016,7,25,Others,KANCHEEPURAM,Government Schemes,KHARIF,AGRICULTURE,TAMILNADU,Tractor subsidy details,recommended number for agriculture engineering office 044 24 32 72 38
1138775,Kangyam,Others,2019,5,4,0,TIRUPUR,Market Information,,AGRICULTURE,TAMILNADU,Asking about sesame market rate ,
847787,THALANAYAR,Cereals,2017,10,24,Paddy Dhan,NAGAPATTINAM,Plant Protection,JAYAD,AGRICULTURE,TAMILNADU,Asking about thrips in Paddy,Recommended for spray Azadirachtin 3 ml Teepol 1 ml litre of water
1456420,0   ,Fruits,2022,4,12,Citrus,CHENNAIMADRAS,Plant Protection,,HORTICULTURE,TAMILNADU,Asking about die back management in citrus,Query: Asking about die back management in citrusAns: Recommended for apply bordeaux paste Dissolve 200 gm of copper sulphate and 200 gm of quick lime each in 1 lit of water separately and mix to form 2 litre of Bordeaux paste
834123,SHANARPATTI,Others,2017,8,9,Others,DINDIGUL,Weather,KHARIF,AGRICULTURE,TAMILNADU,Asking about Weather report for Dindukal,Recommended for today have light rainfall
1493586,NALLAMPALLI,Flowers,2022,8,22,Tuberose,DHARMAPURI,Plant Protection,,AGRICULTURE,TAMILNADU,Farmer asked query on Weather, :        :              32     23      19 
485132,VEPPANTHATTAI,Vegetables,2015,8,4,Onion,PERAMBALUR,Market Information,KHARIF,HORTICULTURE,TAMILNADU,market rate for onion,recommended for market rate for onion Rs 40 kgkg
580992,MADUKKARAI,Fruits,2016,2,7,Banana,COIMBATORE,Fertilizer Use and Availability,RABI,HORTICULTURE,TAMILNADU,Better bunchy fruit size increase in banana,recommended for Spray potassium sulphate 10 gmlit of water
497106,NANNILAM,Cereals,2015,10,17,Paddy Dhan,THIRUVARUR,Weed Management,KHARIF,AGRICULTURE,TAMILNADU,weeds control in paddy,Recommended for Spray Namini gold 150 ml  ac 200 litter of water 21st days after sowing
136266,WALAJAPET,Flowers,2013,8,16,Jasmine,VELLORE,Plant Protection,JAYAD,HORTICULTURE,TAMILNADU,jasmine flower thrips,spray dimethoate 2 ml  lit
1696046,ELLAPURAM,Oilseeds,2024,1,3,Groundnut pea nutmung phalli,THIRUVALLUR,Weather,,AGRICULTURE,TAMILNADU,Farmer asked query on Weather, :       :             28-24C    14    
1314855,ANDIYUR,Flowers,2021,11,17,Rose,ERODE,Cultural Practices,,HORTICULTURE,TAMILNADU,Asking about Rose total yield and pruning season ,:       :   4        
419541,NAMBIYUR,Others,2015,2,10,Others,ERODE,Government Schemes,RABI,AGRICULTURE,TAMILNADU,about supcidy details,recommended for contact to block agricultural office
379020,MADURANTAKAM,Cereals,2015,3,29,Paddy Dhan,KANCHEEPURAM,Market Information,JAYAD,AGRICULTURE,TAMILNADU,Paddy market rate,Recommended for Paddy market rate rs 1170-1380 quintal
741476,VELLORE,Pulses,2017,12,23,Black Gram urd bean,VELLORE,Nutrient Management,RABI,AGRICULTURE,TAMILNADU,Asking about Foliar spray for Red gram,Recommended for spray DAP 20 ml litre of water
902125,MECHERI,Fruits,2018,4,13,Banana,SALEM,Bio-Pesticides and Bio-Fertilizers,JAYAD,HORTICULTURE,TAMILNADU,asking about Root rots bio fungicide application,recommended for apply Pseudomonas fluorescence 1 kg FYM 10kg ac
1345233,PERAMBALUR,Vegetables,2021,3,8,Onion,PERAMBALUR,Market Information,,HORTICULTURE,TAMILNADU,Asked about small onion market information,:     :     60 -65   
201345,TIRUVALLUR,Cereals,2013,10,22,Paddy Dhan,THIRUVALLUR,Fertilizer Use and Availability,KHARIF,AGRICULTURE,TAMILNADU,paddy top dressing,apply urea 25 kg potash 15 kg micronutrient mixture 5 kgac
